MARQUE,MODÈLE,W_LABEL,WAIST_CM,HIP_CM,THIGH_CM,COUPE,MATIÈRE,STRETCH,GENRE,WAIST_GARMENT_FLAT,HAUTEUR DE LA TAILLE,LARGEUR DU FOND,INSEAM_CM,REAL_THIGH
Levi's,Jean 510 Skinny,240,61.0,77.5,47.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,43.0
Levi's,Jean 510 Skinny,250,63.5,80.0,48.3,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,44.3
Levi's,Jean 510 Skinny,260,66.0,82.5,49.4,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,45.4
Levi's,Jean 510 Skinny,270,68.6,85.0,50.8,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,46.8
Levi's,Jean 510 Skinny,280,71.1,87.5,52.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,48.0
Levi's,Jean 510 Skinny,290,73.7,90.2,53.3,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,49.3
Levi's,Jean 510 Skinny,300,76.2,92.7,54.6,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,50.6
Levi's,Jean 510 Skinny,310,78.7,95.3,56.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,52.0
Levi's,Jean 510 Skinny,320,81.3,97.8,57.2,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,53.2
Levi's,Jean 510 Skinny,330,83.8,100.3,58.4,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,54.4
Levi's,Jean 510 Skinny,340,86.4,103.0,59.7,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,55.7
Levi's,Jean 510 Skinny,350,89.0,105.5,61.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,57.0
Levi's,Jean 510 Skinny,360,91.4,108.0,62.2,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,58.2
Levi's,Jean 510 Skinny,380,96.5,113.0,64.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,60.0
Levi's,Jean 510 Skinny,400,101.6,118.0,66.5,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,62.5
Levi's,Jean 510 Skinny,420,106.7,123.2,68.3,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,64.3
Levi's,Jean 510 Skinny,440,111.8,128.3,70.5,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,66.5
Levi's,Jean 510 Skinny,460,116.7,133.5,72.5,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,68.5
Levi's,Jean 510 Skinny,480,121.9,138.5,74.3,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,70.3
Levi's,Jean 510 Skinny,500,127.0,143.5,76.2,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,72.2
Levi's,Jean 510 Skinny,520,132.0,148.6,78.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,74.0
Levi's,Jean 510 Skinny,540,137.2,153.7,80.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,76.0
Levi's,Jean 510 Skinny,560,142.2,158.8,82.0,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,78.0
Levi's,Jean 510 Skinny,580,147.2,163.8,83.8,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,79.8
Levi's,Jean 510 Skinny,600,152.4,169.0,85.7,Skinny,70% Coton28% Tencel2% Lycra,Stretch moyen (21% à 45%),Homme,,,,,81.7
Levi's,Jean 501 Levi's Original,240,61.0,77.5,47.0,Straight,100% Coton,Sans stretch (0%),Homme,,,,,47.0
Levi's,Jean 501 Levi's Original,250,63.5,80.0,48.3,Straight,100% Coton,Sans stretch (0%),Homme,,,,,48.3
Levi's,Jean 501 Levi's Original,260,66.0,82.5,49.4,Straight,100% Coton,Sans stretch (0%),Homme,,,,,49.4
Levi's,Jean 501 Levi's Original,270,68.6,85.0,50.8,Straight,100% Coton,Sans stretch (0%),Homme,,,,,50.8
Levi's,Jean 501 Levi's Original,280,71.1,87.5,52.0,Straight,100% Coton,Sans stretch (0%),Homme,,,,,52.0
Levi's,Jean 501 Levi's Original,290,73.7,90.2,53.3,Straight,100% Coton,Sans stretch (0%),Homme,,,,,53.3
Levi's,Jean 501 Levi's Original,300,76.2,92.7,54.6,Straight,100% Coton,Sans stretch (0%),Homme,,,,,54.6
Levi's,Jean 501 Levi's Original,310,78.7,95.3,56.0,Straight,100% Coton,Sans stretch (0%),Homme,,,,,56.0
Levi's,Jean 501 Levi's Original,320,81.3,97.8,57.2,Straight,100% Coton,Sans stretch (0%),Homme,,,,,57.2
Levi's,Jean 501 Levi's Original,330,83.8,100.3,58.4,Straight,100% Coton,Sans stretch (0%),Homme,,,,,58.4
Levi's,Jean 501 Levi's Original,340,86.4,103.0,59.7,Straight,100% Coton,Sans stretch (0%),Homme,,,,,59.7
